codim: 4, face: 190/195, weights: [1, 1, 0, -1, -1, -2], discriminant: 1
codim: 4, face: 191/195, weights: [2, 2, 0, 0, 1, 1], discriminant: 1
codim: 4, face: 192/195, weights: [2, 2, 1, 2, 1, 1], discriminant: 1
codim: 4, face: 193/195, weights: [2, 1, 1, 1, 0, 1], discriminant: 1
codim: 4, face: 194/195, weights: [2, 3, 2, 2, 2, 0], discriminant: 1
codim: 4, face: 195/195, weights: [2, 2, 2, 0, 0, 0], discriminant: 1
codim: 3, face: 1/174, weights: [-2, -2, -1, 0, -1, 0], discriminant: 1
codim: 3, face: 2/174, weights: [-2, -1, -1, 0, 1, 0], discriminant: s34
codim: 3, face: 3/174, weights: [-1, -1, 1, 0, -1, 0], discriminant: s34 - s51
codim: 3, face: 4/174, weights: [-1, 0, 1, 0, 1, 0], discriminant: s34
codim: 3, face: 5/174, weights: [-1, -2, -1, 0, 0, 0], discriminant: 1
