codim: 4, face: 124/208, weights: [1, 1, 2, -1, 0, 0], discriminant: 1
codim: 4, face: 125/208, weights: [1, 2, 1, -1, 0, 0], discriminant: 1
codim: 4, face: 126/208, weights: [-1, 2, 1, 0, 0, -2], discriminant: 1
codim: 4, face: 127/208, weights: [0, 0, 1, -2, -2, -2], discriminant: 1
codim: 4, face: 128/208, weights: [-1, 1, -1, -2, -2, -3], discriminant: 1
codim: 4, face: 129/208, weights: [1, 1, 2, 0, 1, -1], discriminant: 1
codim: 4, face: 130/208, weights: [0, 2, 0, 0, 1, -2], discriminant: 1
codim: 4, face: 131/208, weights: [0, 0, 0, -2, -1, -2], discriminant: s45
codim: 4, face: 132/208, weights: [1, 3, 4, 2, 2, 2], discriminant: 1
codim: 4, face: 133/208, weights: [2, 2, 4, 1, 1, 3], discriminant: 1
codim: 4, face: 134/208, weights: [2, 3, 2, 0, 0, 2], discriminant: 1
codim: 4, face: 135/208, weights: [2, 2, 4, 2, 3, 2], discriminant: 1
codim: 4, face: 136/208, weights: [2, 3, 2, 1, 2, 1], discriminant: 1
codim: 4, face: 137/208, weights: [2, 2, 2, 0, 1, 2], discriminant: 1
codim: 4, face: 138/208, weights: [0, 2, 2, 1, 0, 0], discriminant: 1
codim: 4, face: 139/208, weights: [1, 1, 2, 0, -1, 0], discriminant: 1
codim: 4, face: 140/208, weights: [1, 2, 1, 0, -1, 0], discriminant: 1
codim: 4, face: 141/208, weights: [1, 1, 2, 1, 0, -1], discriminant: 1
codim: 4, face: 142/208, weights: [0, 2, 0, 1, 0, -2], discriminant: 1
codim: 4, face: 143/208, weights: [0, 0, 0, -1, -2, -2], discriminant: m5
codim: 4, face: 144/208, weights: [2, 2, 4, 3, 2, 2], discriminant: 1
codim: 4, face: 145/208, weights: [2, 3, 2, 2, 1, 1], discriminant: 1
codim: 4, face: 146/208, weights: [2, 2, 2, 1, 0, 2], discriminant: 1
codim: 4, face: 147/208, weights: [2, 2, 2, 2, 2, 0], discriminant: 1
codim: 4, face: 148/208, weights: [1, -2, -2, 0, 0, 0], discriminant: 1
codim: 4, face: 149/208, weights: [0, -3, -2, -2, -1, -1], discriminant: 1
codim: 4, face: 150/208, weights: [0, -2, -1, 0, -1, -1], discriminant: 1
codim: 4, face: 151/208, weights: [0, -2, -3, -2, -1, -1], discriminant: 1
codim: 4, face: 152/208, weights: [0, -1, -2, 0, -1, -1], discriminant: 1
codim: 4, face: 153/208, weights: [1, -2, -1, -1, 0, 1], discriminant: 1
codim: 4, face: 154/208, weights: [1, -1, 0, 1, 0, 1], discriminant: 1
codim: 4, face: 155/208, weights: [1, -1, -2, -1, 0, 1], discriminant: 1
codim: 4, face: 156/208, weights: [1, 0, -1, 1, 0, 1], discriminant: 1
codim: 4, face: 157/208, weights: [1, -2, -1, -2, -1, 0], discriminant: 1
codim: 4, face: 158/208, weights: [0, -2, -1, -2, -2, -1], discriminant: 1
codim: 4, face: 159/208, weights: [0, -2, -2, -3, -2, -1], discriminant: 1
codim: 4, face: 160/208, weights: [1, -1, 0, -1, -1, 1], discriminant: 1
codim: 4, face: 161/208, weights: [1, -1, -1, -2, -1, 1], discriminant: 1
codim: 4, face: 162/208, weights: [1, -1, 0, 0, -1, 0], discriminant: 1
codim: 4, face: 163/208, weights: [0, -1, -1, -1, -2, -1], discriminant: 1
