codim: 3, face: 391/421, weights: [1, 0, 1, 0, 0, 0, -1], discriminant: m1^2 - 2*m1*m4 - 2*m1*t + m4^2 - 2*m4*t + t^2
codim: 3, face: 392/421, weights: [1, 0, 0, -1, -1, 0, -2], discriminant: 1
codim: 3, face: 393/421, weights: [1, 0, 1, 1, 0, 0, 0], discriminant: m1^2 - 2*m1*m4 - 2*m1*t + m4^2 - 2*m4*t + t^2
codim: 3, face: 394/421, weights: [1, 1, 1, 1, 0, 0, 2], discriminant: 1
codim: 3, face: 395/421, weights: [1, 1, 1, 2, 0, 0, 1], discriminant: 1
codim: 3, face: 396/421, weights: [1, 1, 2, 1, 0, 0, 1], discriminant: 1
codim: 3, face: 397/421, weights: [1, 1, 1, 1, -1, 0, 1], discriminant: 1
codim: 3, face: 398/421, weights: [1, 1, 1, 1, 0, -1, 1], discriminant: 1
codim: 3, face: 399/421, weights: [3, 1, 1, 1, 2, 2, 2], discriminant: 1
codim: 3, face: 400/421, weights: [2, 1, 1, 2, 1, 1, 1], discriminant: 1
codim: 3, face: 401/421, weights: [2, 1, 2, 1, 1, 1, 1], discriminant: 1
codim: 3, face: 402/421, weights: [2, 2, 2, 2, 1, 1, 2], discriminant: 1
codim: 3, face: 403/421, weights: [2, 1, 1, 1, 1, 2, 1], discriminant: 1
codim: 3, face: 404/421, weights: [1, 0, 0, 0, 0, -1, -1], discriminant: 1
codim: 3, face: 405/421, weights: [2, 1, 1, 1, 2, 1, 1], discriminant: 1
codim: 3, face: 406/421, weights: [2, 1, 1, 1, 1, 1, 0], discriminant: 1
codim: 3, face: 407/421, weights: [1, 1, -1, 0, 0, 0, 0], discriminant: m3^2 - 2*m3*m4 - 2*m3*s + m4^2 - 2*m4*s + s^2
codim: 3, face: 408/421, weights: [0, 0, -1, -1, -1, -1, -1], discriminant: m3^2 - 2*m3*m4 - 2*m3*s + m4^2 - 2*m4*s + s^2
codim: 3, face: 409/421, weights: [2, 1, 0, 0, 1, 1, 1], discriminant: 1
codim: 3, face: 410/421, weights: [1, 1, 0, -1, 0, 0, 0], discriminant: m4
codim: 3, face: 411/421, weights: [1, 1, 0, 0, 0, 0, 1], discriminant: m3, m4
codim: 3, face: 412/421, weights: [1, 1, 0, 0, 0, 1, 0], discriminant: 1
codim: 3, face: 413/421, weights: [1, 1, 0, -1, -1, 0, -1], discriminant: 1
codim: 3, face: 414/421, weights: [1, 1, 0, 0, -1, 0, 0], discriminant: m3
codim: 3, face: 415/421, weights: [1, 1, 0, 0, 1, 0, 0], discriminant: m3^2 - 2*m3*m4 - 2*m3*s + m4^2 - 2*m4*s + s^2
codim: 3, face: 416/421, weights: [1, 1, 0, 0, 0, -1, 0], discriminant: m3^2 - 2*m3*m4 - 2*m3*s + m4^2 - 2*m4*s + s^2
codim: 3, face: 417/421, weights: [1, 1, 0, 0, 0, 0, -1], discriminant: m3^2 - 2*m3*m4 - 2*m3*s + m4^2 - 2*m4*s + s^2
codim: 3, face: 418/421, weights: [1, 1, 0, 1, 0, 0, 0], discriminant: m3^2 - 2*m3*m4 - 2*m3*s + m4^2 - 2*m4*s + s^2
codim: 3, face: 419/421, weights: [1, 2, 1, 1, 0, 0, 1], discriminant: 1
codim: 3, face: 420/421, weights: [2, 2, 1, 1, 1, 1, 1], discriminant: 1
codim: 3, face: 421/421, weights: [1, 1, 1, 0, 0, 0, 0], discriminant: 1
codim: 2, face: 1/133, weights: [-1, 0, 0, 0, 0, 0, 1], discriminant: m2^2 - 2*m2*m3 - 2*m2*t + m3^2 - 2*m3*t + t^2
codim: 2, face: 2/133, weights: [-2, -1, 0, 0, 0, 0, -1], discriminant: 1
codim: 2, face: 3/133, weights: [0, -1, 0, 0, 0, 0, 1], discriminant: m1^2 - 2*m1*m4 - 2*m1*t + m4^2 - 2*m4*t + t^2
codim: 2, face: 4/133, weights: [-1, -2, 0, 0, 0, 0, -1], discriminant: 1
codim: 2, face: 5/133, weights: [-2, -1, -1, -1, -1, -1, -1], discriminant: 1
codim: 2, face: 6/133, weights: [-1, -1, -1, -1, -1, -1, 0], discriminant: 1
codim: 2, face: 7/133, weights: [-2, -2, -1, -1, -1, -1, -2], discriminant: 1
codim: 2, face: 8/133, weights: [-1, -2, -1, -1, -1, -1, -1], discriminant: m1^2 - 2*m1*m4 - 2*m1*t + m4^2 - 2*m4*t + t^2
codim: 2, face: 9/133, weights: [-1, 0, 0, 0, 0, 1, 0], discriminant: m2^2 - 2*m2*m3 - 2*m2*t + m3^2 - 2*m3*t + t^2
codim: 2, face: 10/133, weights: [0, 0, 0, 0, 0, 1, 1], discriminant: m2^2 - 2*m2*m3 - 2*m2*t + m3^2 - 2*m3*t + t^2, t
codim: 2, face: 11/133, weights: [-1, -1, 0, 0, 0, 1, -1], discriminant: 1
codim: 2, face: 12/133, weights: [0, -1, 0, 0, 0, 1, 0], discriminant: t
codim: 2, face: 13/133, weights: [-1, -1, -1, -1, -1, 0, -1], discriminant: m2^2 - 2*m2*m3 - 2*m2*t + m3^2 - 2*m3*t + t^2
codim: 2, face: 14/133, weights: [-1, 0, 0, 0, 1, 0, 0], discriminant: m2^2 - 2*m2*m3 - 2*m2*t + m3^2 - 2*m3*t + t^2
codim: 2, face: 15/133, weights: [0, 0, 0, 0, 1, 0, 1], discriminant: m2^2 - 2*m2*m3 - 2*m2*t + m3^2 - 2*m3*t + t^2, m1
codim: 2, face: 16/133, weights: [-1, -1, 0, 0, 1, 0, -1], discriminant: 1
codim: 2, face: 17/133, weights: [0, -1, 0, 0, 1, 0, 0], discriminant: m1
codim: 2, face: 18/133, weights: [-1, -1, -1, -1, 0, -1, -1], discriminant: 1
